part_id,service_id,part_name,part_cost
P0767,SR0767,Battery,3295
P0768,SR0768,Wiper Blade,5682
P0769,SR0769,Battery,4946
P0770,SR0770,Engine Oil,5777
P0771,SR0771,Spark Plug,828
P0772,SR0772,Air Filter,592
P0773,SR0773,Engine Oil,4528
P0774,SR0774,Engine Oil,5613
P0775,SR0775,Oil Filter,4545
P0776,SR0776,Brake Pads,3758
P0777,SR0777,Air Filter,616
P0778,SR0778,Wiper Blade,1941
P0779,SR0779,Engine Oil,1849
P0780,SR0780,Brake Pads,2484
P0781,SR0781,Air Filter,1836
P0782,SR0782,Brake Pads,2612
P0783,SR0783,Engine Oil,2680
P0784,SR0784,Wiper Blade,732
P0785,SR0785,Air Filter,3334
P0786,SR0786,Coolant,498
P0787,SR0787,Engine Oil,4599
P0788,SR0788,Engine Oil,4721
P0789,SR0789,Oil Filter,376
P0790,SR0790,Spark Plug,4864
P0791,SR0791,Coolant,4157
P0792,SR0792,Air Filter,4098
P0793,SR0793,Wiper Blade,2350
P0794,SR0794,Wiper Blade,3814
P0795,SR0795,Air Filter,469
P0796,SR0796,Spark Plug,461
P0797,SR0797,Brake Pads,5177
P0798,SR0798,Brake Pads,372
P0799,SR0799,Engine Oil,331
P0800,SR0800,Coolant,1165
P0801,SR0801,Battery,5954
P0802,SR0802,Battery,3024
P0803,SR0803,Engine Oil,5146
P0804,SR0804,Wiper Blade,530
P0805,SR0805,Air Filter,1636
P0806,SR0806,Spark Plug,5706
P0807,SR0807,Spark Plug,380
P0808,SR0808,Oil Filter,5650
P0809,SR0809,Brake Pads,1628
P0810,SR0810,Coolant,5767
P0811,SR0811,Wiper Blade,5344
P0812,SR0812,Wiper Blade,2942
P0813,SR0813,Air Filter,1088
P0814,SR0814,Wiper Blade,1857
P0815,SR0815,Coolant,1796
P0816,SR0816,Engine Oil,3181
P0817,SR0817,Wiper Blade,5670
P0818,SR0818,Brake Pads,5007
P0819,SR0819,Battery,3107
P0820,SR0820,Engine Oil,962
P0821,SR0821,Coolant,3411
P0822,SR0822,Wiper Blade,2880
P0823,SR0823,Brake Pads,5777
P0824,SR0824,Wiper Blade,2151
P0825,SR0825,Battery,1324
P0826,SR0826,Engine Oil,4605
P0827,SR0827,Coolant,3331
P0828,SR0828,Coolant,1142
P0829,SR0829,Spark Plug,2258
P0830,SR0830,Coolant,5356
P0831,SR0831,Wiper Blade,608
P0832,SR0832,Engine Oil,1810
P0833,SR0833,Wiper Blade,756
P0834,SR0834,Wiper Blade,5488
P0835,SR0835,Spark Plug,1132
P0836,SR0836,Coolant,3464
P0837,SR0837,Oil Filter,4745
P0838,SR0838,Wiper Blade,4768
P0839,SR0839,Wiper Blade,2212
P0840,SR0840,Oil Filter,3687
P0841,SR0841,Brake Pads,3100
P0842,SR0842,Oil Filter,5106
P0843,SR0843,Air Filter,1506
P0844,SR0844,Coolant,5988
P0845,SR0845,Air Filter,5447
P0846,SR0846,Spark Plug,2664
P0847,SR0847,Spark Plug,3274
P0848,SR0848,Brake Pads,746
P0849,SR0849,Air Filter,5835
P0850,SR0850,Brake Pads,3660
P0851,SR0851,Oil Filter,2064
P0852,SR0852,Brake Pads,3989
P0853,SR0853,Air Filter,5201
P0854,SR0854,Brake Pads,4053
P0855,SR0855,Oil Filter,3312
P0856,SR0856,Battery,4181
P0857,SR0857,Air Filter,1722
P0858,SR0858,Wiper Blade,3408
P0859,SR0859,Battery,1459
P0860,SR0860,Spark Plug,2619
P0861,SR0861,Battery,1886
P0862,SR0862,Coolant,5424
P0863,SR0863,Air Filter,447
P0864,SR0864,Air Filter,4870
P0865,SR0865,Brake Pads,1770
P0866,SR0866,Battery,3220
P0867,SR0867,Engine Oil,754
P0868,SR0868,Coolant,3948
P0869,SR0869,Battery,617
P0870,SR0870,Air Filter,5387
P0871,SR0871,Spark Plug,2058
P0872,SR0872,Brake Pads,3150
P0873,SR0873,Spark Plug,4976
P0874,SR0874,Battery,4591
P0875,SR0875,Spark Plug,1368
P0876,SR0876,Wiper Blade,4950
P0877,SR0877,Battery,2781
P0878,SR0878,Air Filter,624
P0879,SR0879,Oil Filter,2062
P0880,SR0880,Brake Pads,1558
P0881,SR0881,Engine Oil,2592
P0882,SR0882,Oil Filter,1808
P0883,SR0883,Air Filter,3141
P0884,SR0884,Coolant,2392
P0885,SR0885,Battery,5128
P0886,SR0886,Brake Pads,4602
P0887,SR0887,Coolant,4164
P0888,SR0888,Spark Plug,2861
P0889,SR0889,Coolant,1215
P0890,SR0890,Air Filter,4081
P0891,SR0891,Oil Filter,494
P0892,SR0892,Coolant,1533
P0893,SR0893,Oil Filter,4338
P0894,SR0894,Engine Oil,3313
P0895,SR0895,Battery,5761
P0896,SR0896,Wiper Blade,1442
P0897,SR0897,Oil Filter,1602
P0898,SR0898,Engine Oil,5161
P0899,SR0899,Engine Oil,5916
P0900,SR0900,Oil Filter,691
P0901,SR0901,Air Filter,4445
P0902,SR0902,Oil Filter,2769
P0903,SR0903,Battery,1373
P0904,SR0904,Air Filter,4623
P0905,SR0905,Spark Plug,1499
P0906,SR0906,Battery,5656
P0907,SR0907,Coolant,1310
P0908,SR0908,Coolant,4868
P0909,SR0909,Battery,5645
P0910,SR0910,Battery,1028
P0911,SR0911,Oil Filter,5359
P0912,SR0912,Engine Oil,3755
P0913,SR0913,Spark Plug,2377
P0914,SR0914,Wiper Blade,3445
P0915,SR0915,Air Filter,5861
P0916,SR0916,Engine Oil,1899
P0917,SR0917,Air Filter,4358
P0918,SR0918,Brake Pads,940
P0919,SR0919,Engine Oil,3507
P0920,SR0920,Spark Plug,2334
P0921,SR0921,Battery,2869
P0922,SR0922,Wiper Blade,723
P0923,SR0923,Wiper Blade,1554
P0924,SR0924,Spark Plug,1803
P0925,SR0925,Engine Oil,2713
P0926,SR0926,Coolant,622
P0927,SR0927,Brake Pads,1713
P0928,SR0928,Air Filter,3646
P0929,SR0929,Spark Plug,3059
P0930,SR0930,Oil Filter,581
P0931,SR0931,Wiper Blade,1542
P0932,SR0932,Engine Oil,4262
P0933,SR0933,Engine Oil,5870
P0934,SR0934,Brake Pads,3503
P0935,SR0935,Spark Plug,2499
P0936,SR0936,Engine Oil,5405
P0937,SR0937,Air Filter,2992
P0938,SR0938,Brake Pads,1529
P0939,SR0939,Wiper Blade,1417
P0940,SR0940,Wiper Blade,976
P0941,SR0941,Spark Plug,1501
P0942,SR0942,Coolant,1061
P0943,SR0943,Engine Oil,1655
P0944,SR0944,Engine Oil,1585
P0945,SR0945,Oil Filter,5073
P0946,SR0946,Coolant,5333
P0947,SR0947,Oil Filter,4140
P0948,SR0948,Oil Filter,454
P0949,SR0949,Oil Filter,320
P0950,SR0950,Coolant,1935
P0951,SR0951,Wiper Blade,4606
P0952,SR0952,Battery,1725
P0953,SR0953,Coolant,1054
P0954,SR0954,Engine Oil,5035
P0955,SR0955,Oil Filter,2567
P0956,SR0956,Wiper Blade,2613
P0957,SR0957,Oil Filter,1276
P0958,SR0958,Battery,5866
P0959,SR0959,Air Filter,4175
P0960,SR0960,Wiper Blade,2200
P0961,SR0961,Battery,3690
P0962,SR0962,Wiper Blade,3741
P0963,SR0963,Wiper Blade,4366
P0964,SR0964,Battery,5211
P0965,SR0965,Oil Filter,3803
P0966,SR0966,Air Filter,3707
P0967,SR0967,Battery,1481
P0968,SR0968,Engine Oil,3753
P0969,SR0969,Air Filter,1133
P0970,SR0970,Battery,2321
P0971,SR0971,Wiper Blade,556
P0972,SR0972,Air Filter,752
P0973,SR0973,Spark Plug,4740
P0974,SR0974,Coolant,5021
P0975,SR0975,Engine Oil,5518
P0976,SR0976,Air Filter,5007
P0977,SR0977,Wiper Blade,1910
P0978,SR0978,Coolant,307
P0979,SR0979,Battery,904
P0980,SR0980,Wiper Blade,790
P0981,SR0981,Battery,829
P0982,SR0982,Air Filter,1789
P0983,SR0983,Engine Oil,1440
P0984,SR0984,Battery,610
P0985,SR0985,Spark Plug,3950
P0986,SR0986,Air Filter,1315
P0987,SR0987,Engine Oil,4949
P0988,SR0988,Brake Pads,2599
P0989,SR0989,Wiper Blade,3813
P0990,SR0990,Engine Oil,2237
P0991,SR0991,Oil Filter,2843
P0992,SR0992,Wiper Blade,5917
P0993,SR0993,Wiper Blade,4643
P0994,SR0994,Brake Pads,1849
P0995,SR0995,Oil Filter,833
P0996,SR0996,Spark Plug,4310
P0997,SR0997,Battery,740
P0998,SR0998,Wiper Blade,1591
P0999,SR0999,Wiper Blade,3646
P1000,SR1000,Brake Pads,478
